transaction_id,customer_id,account_type,transaction_time,transaction_hour,amount,payment_method,merchant_name,location,home_city,device_type,transaction_status,is_fraud,risk_score
TXN0000001,CUST00257,Salary,26-07-24 4:22,4,87469.93,Net Banking,Electronics Store,Bhopal,Chennai,Tablet,Success,1,52
TXN0000002,CUST00346,Current,12-09-24 19:50,19,4743.8,IMPS,Myntra,Ahmedabad,Ahmedabad,Desktop,Success,0,6
TXN0000003,CUST00692,Savings,01-02-24 13:03,13,1569.92,IMPS,Amazon,Bhopal,Kolkata,Mobile,Success,0,22
TXN0000004,CUST01182,Savings,10-06-24 18:52,18,861.05,Debit Card,Grocery Store,Chennai,Chennai,Desktop,Success,0,1
TXN0000005,CUST00063,Salary,27-04-24 7:43,7,4417.61,NEFT,Jewellery Store,Lucknow,Lucknow,Tablet,Success,0,1
TXN0000006,CUST00832,Current,24-09-24 10:20,10,8812.08,Debit Card,Swiggy,Jaipur,Mumbai,POS Terminal,Success,0,28
TXN0000007,CUST00852,Savings,12-05-24 2:49,2,3590.68,NEFT,PayTM Mall,Pune,Pune,POS Terminal,Failed,0,36
TXN0000008,CUST00641,Savings,30-11-24 7:01,7,4019.32,Net Banking,Unknown Merchant,Pune,Pune,Tablet,Success,0,26
TXN0000009,CUST00817,Current,06-08-24 2:58,2,8411.49,Credit Card,Hospital,Hyderabad,Pune,Tablet,Success,0,44
TXN0000010,CUST00956,Current,06-04-24 6:46,6,4618.63,UPI,Local ATM,Mumbai,Hyderabad,Tablet,Success,0,25
TXN0000011,CUST00595,Salary,02-12-24 1:15,1,7377.65,NEFT,Nykaa,Chennai,Chennai,POS Terminal,Reversed,0,26
TXN0000012,CUST00671,Current,23-10-24 8:48,8,1149.84,IMPS,PayTM Mall,Jaipur,Jaipur,Tablet,Success,0,8
TXN0000013,CUST01055,Current,12-07-24 3:49,3,41224.56,NEFT,BookMyShow,Ahmedabad,Pune,POS Terminal,Success,0,49
TXN0000014,CUST01036,Salary,14-08-24 13:09,13,13253.07,NEFT,PayTM Mall,Bhopal,Bhopal,Desktop,Success,0,3
TXN0000015,CUST00104,Savings,08-12-24 15:59,15,1837.13,Debit Card,Electronics Store,Hyderabad,Hyderabad,POS Terminal,Success,0,5
